Accident Index,Timestamp,Year,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
201243P067092,"5:20am, 9th September 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P067092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P067092,51.742733,-1.226977
201243P074112,"8:45am, 8th November 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P074112/,https://api.cyclestreets.net/v2/collisions.location?id=201243P074112,51.758707,-1.26423
201243P083082,"4:42pm, 8th August 2012",2012,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201243P083082/,https://api.cyclestreets.net/v2/collisions.location?id=201243P083082,51.782285,-1.267471
201243P090072,"5:10pm, 9th July 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P090072/,https://api.cyclestreets.net/v2/collisions.location?id=201243P090072,51.787937,-1.280138
201243P103022,"8:00am, 9th February 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P103022/,https://api.cyclestreets.net/v2/collisions.location?id=201243P103022,51.748592,-1.243101
201243P108052,"8:05pm, 12th May 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P108052/,https://api.cyclestreets.net/v2/collisions.location?id=201243P108052,51.76307,-1.229528
201243P116062,"7:30pm, 8th June 2012",2012,serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201243P116062/,https://api.cyclestreets.net/v2/collisions.location?id=201243P116062,51.752601,-1.251291
201243P143122,"4:25pm, 14th December 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P143122/,https://api.cyclestreets.net/v2/collisions.location?id=201243P143122,51.75831,-1.216713
201243P151052,"9:12pm, 5th May 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P151052/,https://api.cyclestreets.net/v2/collisions.location?id=201243P151052,51.769303,-1.262029
201243P153112,"5:00pm, 15th November 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P153112/,https://api.cyclestreets.net/v2/collisions.location?id=201243P153112,51.745366,-1.230843
201243P163112,"8:00am, 12th November 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P163112/,https://api.cyclestreets.net/v2/collisions.location?id=201243P163112,51.741439,-1.22164
201243P187062,"5:52pm, 14th June 2012",2012,serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P187062/,https://api.cyclestreets.net/v2/collisions.location?id=201243P187062,51.735256,-1.198141
